2023-05-07 23:49:03 [main] INFO  MathTest1:39 - Test 1
2023-05-08 00:24:34 [ForkJoinPool-1-worker-1] INFO  MathTest1:39 - Test 11
2023-05-08 00:29:30 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:30:02 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:30:56 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:31:12 [ForkJoinPool-1-worker-4] INFO  MathTest1:42 - Test 11
2023-05-08 00:31:24 [ForkJoinPool-1-worker-4] INFO  MathTest1:42 - Test 11
2023-05-08 00:32:05 [ForkJoinPool-1-worker-4] INFO  MathTest1:42 - Test 11
2023-05-08 00:32:22 [ForkJoinPool-1-worker-3] INFO  MathTest1:42 - Test 11
2023-05-08 00:32:41 [ForkJoinPool-1-worker-4] INFO  MathTest1:42 - Test 11
2023-05-08 00:33:06 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:34:00 [ForkJoinPool-1-worker-2] INFO  MathTest1:42 - Test 11
2023-05-08 00:35:37 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:37:07 [ForkJoinPool-1-worker-3] INFO  MathTest1:42 - Test 11
2023-05-08 00:37:27 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:38:49 [ForkJoinPool-1-worker-4] INFO  MathTest1:42 - Test 11
2023-05-08 00:39:11 [ForkJoinPool-1-worker-3] INFO  MathTest1:42 - Test 11
2023-05-08 00:40:12 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-05-08 00:40:54 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-07-12 02:13:09 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
2023-07-21 13:01:34 [ForkJoinPool-1-worker-1] INFO  MathTest1:42 - Test 11
